store_code,store_name,item_code,to_qty,sorted_qty_excl_059,gap,status
037,037 - Lacaly AlMahmal - MAATC,336056,6.00,1.00,5.00,SHORT
WH-MAIN,WH-MAIN (putaway),336123,0.00,5.00,-5.00,OVER
WH-MAIN,WH-MAIN (putaway),336127,0.00,5.00,-5.00,OVER
WH-MAIN,WH-MAIN (putaway),336129,0.00,5.00,-5.00,OVER
WH-MAIN,WH-MAIN (putaway),336133,0.00,5.00,-5.00,OVER
WH-MAIN,WH-MAIN (putaway),336134,0.00,5.00,-5.00,OVER
WH-MAIN,WH-MAIN (putaway),336147,0.00,5.00,-5.00,OVER
WH-MAIN,WH-MAIN (putaway),336153,0.00,5.00,-5.00,OVER
WH-MAIN,WH-MAIN (putaway),336157,0.00,5.00,-5.00,OVER
WH-MAIN,WH-MAIN (putaway),336158,0.00,5.00,-5.00,OVER
WH-MAIN,WH-MAIN (putaway),336159,0.00,5.00,-5.00,OVER
WH-MAIN,WH-MAIN (putaway),336163,0.00,5.00,-5.00,OVER
WH-MAIN,WH-MAIN (putaway),336164,0.00,5.00,-5.00,OVER
WH-MAIN,WH-MAIN (putaway),336169,0.00,5.00,-5.00,OVER
WH-MAIN,WH-MAIN (putaway),336170,0.00,5.00,-5.00,OVER
WH-MAIN,WH-MAIN (putaway),336171,0.00,5.00,-5.00,OVER
WH-MAIN,WH-MAIN (putaway),336175,0.00,5.00,-5.00,OVER
WH-MAIN,WH-MAIN (putaway),336176,0.00,5.00,-5.00,OVER
WH-MAIN,WH-MAIN (putaway),336177,0.00,5.00,-5.00,OVER
WH-MAIN,WH-MAIN (putaway),336181,0.00,5.00,-5.00,OVER
WH-MAIN,WH-MAIN (putaway),336182,0.00,5.00,-5.00,OVER
WH-MAIN,WH-MAIN (putaway),336183,0.00,5.00,-5.00,OVER
WH-MAIN,WH-MAIN (putaway),336187,0.00,5.00,-5.00,OVER
WH-MAIN,WH-MAIN (putaway),336188,0.00,5.00,-5.00,OVER
WH-MAIN,WH-MAIN (putaway),336189,0.00,5.00,-5.00,OVER
WH-MAIN,WH-MAIN (putaway),336193,0.00,5.00,-5.00,OVER
WH-MAIN,WH-MAIN (putaway),336194,0.00,5.00,-5.00,OVER
WH-MAIN,WH-MAIN (putaway),336200,0.00,5.00,-5.00,OVER
WH-MAIN,WH-MAIN (putaway),336205,0.00,5.00,-5.00,OVER
WH-MAIN,WH-MAIN (putaway),336206,0.00,5.00,-5.00,OVER
WH-MAIN,WH-MAIN (putaway),336207,0.00,5.00,-5.00,OVER
WH-MAIN,WH-MAIN (putaway),336211,0.00,5.00,-5.00,OVER
WH-MAIN,WH-MAIN (putaway),336212,0.00,5.00,-5.00,OVER
WH-MAIN,WH-MAIN (putaway),336213,0.00,5.00,-5.00,OVER
WH-MAIN,WH-MAIN (putaway),336217,0.00,5.00,-5.00,OVER
WH-MAIN,WH-MAIN (putaway),336218,0.00,5.00,-5.00,OVER
WH-MAIN,WH-MAIN (putaway),336279,0.00,5.00,-5.00,OVER
WH-MAIN,WH-MAIN (putaway),336283,0.00,5.00,-5.00,OVER
WH-MAIN,WH-MAIN (putaway),336284,0.00,5.00,-5.00,OVER
WH-MAIN,WH-MAIN (putaway),336285,0.00,5.00,-5.00,OVER
WH-MAIN,WH-MAIN (putaway),336289,0.00,5.00,-5.00,OVER
WH-MAIN,WH-MAIN (putaway),336291,0.00,5.00,-5.00,OVER
WH-MAIN,WH-MAIN (putaway),336295,0.00,5.00,-5.00,OVER
WH-MAIN,WH-MAIN (putaway),336296,0.00,5.00,-5.00,OVER
WH-MAIN,WH-MAIN (putaway),336297,0.00,5.00,-5.00,OVER
WH-MAIN,WH-MAIN (putaway),336301,0.00,5.00,-5.00,OVER
WH-MAIN,WH-MAIN (putaway),336302,0.00,5.00,-5.00,OVER
WH-MAIN,WH-MAIN (putaway),336303,0.00,5.00,-5.00,OVER
WH-MAIN,WH-MAIN (putaway),336307,0.00,5.00,-5.00,OVER
WH-MAIN,WH-MAIN (putaway),336308,0.00,5.00,-5.00,OVER
WH-MAIN,WH-MAIN (putaway),336309,0.00,5.00,-5.00,OVER
WH-MAIN,WH-MAIN (putaway),336313,0.00,5.00,-5.00,OVER
WH-MAIN,WH-MAIN (putaway),336314,0.00,5.00,-5.00,OVER
WH-MAIN,WH-MAIN (putaway),336315,0.00,5.00,-5.00,OVER
WH-MAIN,WH-MAIN (putaway),336319,0.00,5.00,-5.00,OVER
WH-MAIN,WH-MAIN (putaway),336320,0.00,5.00,-5.00,OVER
WH-MAIN,WH-MAIN (putaway),336357,0.00,5.00,-5.00,OVER
WH-MAIN,WH-MAIN (putaway),336361,0.00,5.00,-5.00,OVER
WH-MAIN,WH-MAIN (putaway),336362,0.00,5.00,-5.00,OVER
WH-MAIN,WH-MAIN (putaway),336363,0.00,5.00,-5.00,OVER
WH-MAIN,WH-MAIN (putaway),336367,0.00,5.00,-5.00,OVER
WH-MAIN,WH-MAIN (putaway),336368,0.00,5.00,-5.00,OVER
WH-MAIN,WH-MAIN (putaway),336387,0.00,5.00,-5.00,OVER
WH-MAIN,WH-MAIN (putaway),336391,0.00,5.00,-5.00,OVER
WH-MAIN,WH-MAIN (putaway),336392,0.00,5.00,-5.00,OVER
WH-MAIN,WH-MAIN (putaway),336393,0.00,5.00,-5.00,OVER
WH-MAIN,WH-MAIN (putaway),336397,0.00,5.00,-5.00,OVER
WH-MAIN,WH-MAIN (putaway),336398,0.00,5.00,-5.00,OVER
WH-MAIN,WH-MAIN (putaway),336399,0.00,5.00,-5.00,OVER
WH-MAIN,WH-MAIN (putaway),336403,0.00,5.00,-5.00,OVER
WH-MAIN,WH-MAIN (putaway),336404,0.00,5.00,-5.00,OVER
WH-MAIN,WH-MAIN (putaway),336405,0.00,5.00,-5.00,OVER
WH-MAIN,WH-MAIN (putaway),336409,0.00,5.00,-5.00,OVER
WH-MAIN,WH-MAIN (putaway),336410,0.00,5.00,-5.00,OVER
WH-MAIN,WH-MAIN (putaway),336435,0.00,5.00,-5.00,OVER
WH-MAIN,WH-MAIN (putaway),336439,0.00,5.00,-5.00,OVER
WH-MAIN,WH-MAIN (putaway),336440,0.00,5.00,-5.00,OVER
